productId,productName,previousFamily,reviewDecision,finalFamily,previousDisciplines,finalDisciplines,previousUseContexts,finalUseContexts,notes
176,Crossover Lat Pulldown ZR Series | PROmachine,CABLE_MACHINE,ACCEPT,CABLE_MACHINE,,,HOME_GYM:EXPLICIT,HOME_GYM:EXPLICIT,Deep-audited: full name/category/feature/description evidence read directly.
1427,Polea de Muro 1.0 ZR Series | PROmachine,CABLE_MACHINE,ACCEPT,CABLE_MACHINE,,,HOME_GYM:EXPLICIT;SMALL_SPACE:EXPLICIT,HOME_GYM:EXPLICIT;SMALL_SPACE:EXPLICIT,Confirmatory pass: evidence pattern matches a deep-audited example for the same family/discipline/context combination.
29,Barra Olímpica 15kg 220cm Eco Serie | PROmachine,BARBELL,CORRECT,BARBELL,WEIGHTLIFTING:STRONGLY_INFERRED,,,,"Removed WEIGHTLIFTING discipline: ""Categoría: Olímpico"" is a technical spec (Olympic sleeve diameter), not discipline-specific evidence — full-catalog check found it on 216/2011 products (55% of all bar/plate SKUs), and sampled product descriptions market the same SKUs for CrossFit/functional/general strength equally. | Deep-audited: full name/category/feature/description evidence read directly."
252,Power Rack Hell Series | HWM®,RACK_CAGE,ACCEPT,RACK_CAGE,,,,,Deep-audited: full name/category/feature/description evidence read directly.
679,Bicicleta de Spinning SP9 | Obelix,CARDIO_MACHINE,ACCEPT,CARDIO_MACHINE,CARDIO_ENDURANCE:STRONGLY_INFERRED,CARDIO_ENDURANCE:STRONGLY_INFERRED,COMMERCIAL_GYM:EXPLICIT,COMMERCIAL_GYM:EXPLICIT,Deep-audited: full name/category/feature/description evidence read directly.
319,Palmeta de Caucho 100x100cm 15mm (Unidad),FLOORING,ACCEPT,FLOORING,,,COMMERCIAL_GYM:EXPLICIT,COMMERCIAL_GYM:EXPLICIT,Deep-audited: full name/category/feature/description evidence read directly.
32,Barra Olímpica 20kg Training | HWM®,BARBELL,CORRECT,BARBELL,WEIGHTLIFTING:STRONGLY_INFERRED,,,,"Removed WEIGHTLIFTING discipline: ""Categoría: Olímpico"" is a technical spec (Olympic sleeve diameter), not discipline-specific evidence — full-catalog check found it on 216/2011 products (55% of all bar/plate SKUs), and sampled product descriptions market the same SKUs for CrossFit/functional/general strength equally. | Confirmatory pass: evidence pattern matches a deep-audited example for the same family/discipline/context combination."
534,Polea de Muro 2.0 ZR Series | PROmachine,CABLE_MACHINE,ACCEPT,CABLE_MACHINE,,,HOME_GYM:EXPLICIT;SMALL_SPACE:EXPLICIT,HOME_GYM:EXPLICIT;SMALL_SPACE:EXPLICIT,Confirmatory pass: evidence pattern matches a deep-audited example for the same family/discipline/context combination.
1237,Trotadora Comercial S1 Series LED | Obelix®,CARDIO_MACHINE,ACCEPT,CARDIO_MACHINE,CARDIO_ENDURANCE:STRONGLY_INFERRED,CARDIO_ENDURANCE:STRONGLY_INFERRED,COMMERCIAL_GYM:EXPLICIT,COMMERCIAL_GYM:EXPLICIT,Confirmatory pass: evidence pattern matches a deep-audited example for the same family/discipline/context combination.
723,Pack 10 Palmetas de Caucho 100x100cm 15mm,FLOORING,ACCEPT,FLOORING,,,COMMERCIAL_GYM:EXPLICIT,COMMERCIAL_GYM:EXPLICIT,Confirmatory pass: evidence pattern matches a deep-audited example for the same family/discipline/context combination.
33,Barra Olímpica 15kg Training | HWM®,BARBELL,CORRECT,BARBELL,WEIGHTLIFTING:STRONGLY_INFERRED,,,,"Removed WEIGHTLIFTING discipline: ""Categoría: Olímpico"" is a technical spec (Olympic sleeve diameter), not discipline-specific evidence — full-catalog check found it on 216/2011 products (55% of all bar/plate SKUs), and sampled product descriptions market the same SKUs for CrossFit/functional/general strength equally. | Confirmatory pass: evidence pattern matches a deep-audited example for the same family/discipline/context combination."
638,Banco Regulable Amarillo Flúor | KONG,BENCH,ACCEPT,BENCH,,,,,Deep-audited: full name/category/feature/description evidence read directly.
212,Banco Regulable Hell | HWM,BENCH,ACCEPT,BENCH,,,HOME_GYM:EXPLICIT,HOME_GYM:EXPLICIT,Confirmatory pass: evidence pattern matches a deep-audited example for the same family/discipline/context combination.
1543,Power Rack Alpha | HWM®,RACK_CAGE,ACCEPT,RACK_CAGE,,,SEMI_COMMERCIAL_STUDIO:EXPLICIT,SEMI_COMMERCIAL_STUDIO:EXPLICIT,Confirmatory pass: evidence pattern matches a deep-audited example for the same family/discipline/context combination.
1504,Dual Cuádriceps / Femoral Sentado MO 2.0 | Obelix®,SELECTORIZED_MACHINE,ACCEPT,SELECTORIZED_MACHINE,,,COMMERCIAL_GYM:EXPLICIT,COMMERCIAL_GYM:EXPLICIT,Deep-audited: full name/category/feature/description evidence read directly.
