issueType,family,tag,productId,productName,description,recommendedAction
MISSING_TAG,PRODUCT_FAMILY,OTHER,2084,Máquina Home Gym ULTRA FZ410 68kg - 2da Selección | Forza,No rule matched name or trusted category for family classification,Manual review / candidate new family or keyword rule
MISSING_TAG,PRODUCT_FAMILY,OTHER,2077,Máquina Home Gym PRO FZ402B 68kg - 2da Selección | Forza,No rule matched name or trusted category for family classification,Manual review / candidate new family or keyword rule
MISSING_TAG,PRODUCT_FAMILY,OTHER,85,Cajón Pliométrico Acolchado 3 en 1 (75x50x60cm) | HWM®,No rule matched name or trusted category for family classification,Manual review / candidate new family or keyword rule
MISSING_TAG,PRODUCT_FAMILY,OTHER,151,AbMat 1.0 | HWM®,No rule matched name or trusted category for family classification,Manual review / candidate new family or keyword rule
MISSING_TAG,PRODUCT_FAMILY,OTHER,1717,Máquina Home Gym ULTRA FZ410 68kg | Forza | 2da Selección,No rule matched name or trusted category for family classification,Manual review / candidate new family or keyword rule
MISSING_TAG,PRODUCT_FAMILY,OTHER,1714,Máquina Home Gym PRO FZ402B 68kg | Forza | 2da Selección,No rule matched name or trusted category for family classification,Manual review / candidate new family or keyword rule
MISSING_TAG,PRODUCT_FAMILY,OTHER,1949,Set 4 Plyo Box Apilables - 2da Selección | HWM,No rule matched name or trusted category for family classification,Manual review / candidate new family or keyword rule
MISSING_TAG,PRODUCT_FAMILY,OTHER,80,Magnesio 56gr (Unidad) | Araknido,No rule matched name or trusted category for family classification,Manual review / candidate new family or keyword rule
MISSING_TAG,PRODUCT_FAMILY,OTHER,1628,Set 20kg Maletín Cast Iron | 2da Selección,No rule matched name or trusted category for family classification,Manual review / candidate new family or keyword rule
MISSING_TAG,PRODUCT_FAMILY,OTHER,82,Cajón Pliométrico de Madera 3 en 1 (75x50x60cm) | HWM®,No rule matched name or trusted category for family classification,Manual review / candidate new family or keyword rule
MISSING_TAG,PRODUCT_FAMILY,OTHER,711,Pack Garage Kong HWM,No rule matched name or trusted category for family classification,Manual review / candidate new family or keyword rule
MISSING_TAG,PRODUCT_FAMILY,OTHER,370,Pack Grip 105kg | PROmachine,No rule matched name or trusted category for family classification,Manual review / candidate new family or keyword rule
MISSING_TAG,PRODUCT_FAMILY,OTHER,1572,Set 4 Plyo Box Apilables | HWM | 2da Selección,No rule matched name or trusted category for family classification,Manual review / candidate new family or keyword rule
AXIS_OVERLAP,USE_CONTEXT,HOME_GYM,592,Banco Regulable 3.0 | PROmachine,"PrestaShop category ""Máquinas Home Gym"" is assigned to non-machine products (e.g. this adjustable bench), conflating PRODUCT_FAMILY and USE_CONTEXT semantics in the source taxonomy.","Never use ""Máquinas Home Gym"" as PRODUCT_FAMILY evidence; use it only as a STRONGLY_INFERRED USE_CONTEXT:HOME_GYM signal (implemented in this review)."
SOURCE_CONTRADICTION,DISCIPLINE,CROSSFIT,252,"(30 products assigned to ""CrossFit HWM®"" category)","Category ""CrossFit HWM®"" is trust-mapped LEGACY (brand/collection series, not independent semantics) yet its name literally says CrossFit. Using it as discipline evidence in an initial draft produced 25 CROSSFIT tags on this golden set alone (vs. 1 when restricted to explicit name/structured-category evidence).",Exclude LEGACY-trust categories from DISCIPLINE and USE_CONTEXT evidence entirely; require EXPLICIT name text or a SEMANTIC_STRONG-trust category.
SOURCE_CONTRADICTION,DISCIPLINE,REHABILITATION,176,"(multiple: 7, 9, 10, 57, 58, 59, 183, 184, 186, 1269, 1455, 1517, 176)","Free-text description scanning for ""rehabilitacion""/""terapia"" produced 19 false-positive REHABILITATION tags on generic multi-use products (bands, medicine balls, kettlebells, cable machines) whose marketing copy lists rehab as one of many possible uses, not a defining discipline.","Never use free-text product description as discipline/use-context evidence; restrict to name text, SEMANTIC_STRONG category, or structured feature value (implemented in this review)."
